ID_CNT_CONTRATO,NUMEROCONTRATO,PRECIOCONTRATO,FECHACONCERTACION,FECHAENTREGADESDE,FECHAENTREGAHASTA,tipoContrato_DESCRIPCION,OPERADORCOMERCIAL,MONEDA,ESTADOCONTRATO,CLIENTE_RAZONSOCIAL_CABECERA,PRODUCTO,PROVEEDOR_RAZONSOCIAL_CABECERA,CANTIDAD,CANTIDADORIGINAL,CANTIDADENTREGADA,CANTIDADLIQUIDADA,LUGARENTREGA,ZC,LOCALIDAD_LUGARENTREGA,PROVINCIA_LUGARENTREGA,NEGOCIO,MOTIVOOPERACION,COSECHA
241283,4540134,191.04,2020-04-23,2020-04-23,2020-05-18,Precio Fijo,OPERADOR JOWO-XECA 024,Dolares,TERMINADO,CLIENTE MEME-QUNO 072,MAIZ,PROVEEDOR BELU-TEFI 088,66.886,267.019,155.861,155.861,PUERTO MEQU-CACA 004,ZC77,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2019/20
919777,1486052,201.51,2019-06-14,2019-06-14,2019-07-14,Precio Fijo,OPERADOR ZOVI-RIPA 028,Dolares,TERMINADO,CLIENTE ORPA-NOOR 555,CEBADA FORRAJERA,PROVEEDOR BELU-TEFI 088,411.239,62.695,48.163,41.786,PUERTO ELBE-LUFI 003,ZC25,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2022/23
660425,5751106,128.75,2020-10-28,2020-10-28,2020-11-24,Precio Fijo,OPERADOR ALSA-MEVI 018,Dolares,CONFIRMADO,CLIENTE YAAL-NOPA 108,CEBADA FORRAJERA,PROVEEDOR HAAL-RIJO 006,56.558,23.707,21.991,12.778,PUERTO MEQU-CACA 004,ZC20,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2019/20
475666,9731073,164.77,2020-05-16,2020-10-14,2020-11-19,Precio Fijo,OPERADOR ELKA-MEHA 023,Pesos Argentinos,TERMINADO,CLIENTE WOPA-QUKA 332,TRIGO PAN,PROVEEDOR KAQU-KAJO 044,25.375,49.89,36.979,32.624,PUERTO NOEL-TEWO 002,ZC57,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2019/20
675820,3513852,224.1,2019-04-11,2019-04-11,2019-05-06,Precio Fijo,OPERADOR YACA-JOFI 056,Dolares,TERMINADO,CLIENTE WOGA-ZOLU 826,TRIGO PAN,PROVEEDOR GANO-YAPA 010,1512.715,126.153,118.087,50.156,PUERTO MEQU-CACA 004,ZC57,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
967857,5783178,154.13,2020-01-13,2020-08-27,2020-09-29,Precio Fijo,OPERADOR NOHA-FIKA 033,Dolares,ENTREGADO,CLIENTE VIQU-HANO 566,CEBADA FORRAJERA,PROVEEDOR HAUR-CACA 037,983.025,141.648,79.789,79.789,PUERTO MEQU-CACA 004,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2022/23
127136,7885505,215.98,2020-10-06,2020-10-08,2020-11-05,Precio Fijo,OPERADOR RIEL-LUME 022,Dolares,TERMINADO,CLIENTE MENO-ZOPA 142,TRIGO PAN,PROVEEDOR YACA-KAVI 085,250.116,248.898,141.762,141.762,PUERTO NOEL-TEWO 002,ZC25,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Exportacion,Compra,2024/25
637111,5175610,232656.7,2020-06-05,2021-02-28,2021-03-31,Precio Fijo,OPERADOR NODO-SAVI 010,Dolares,TERMINADO,CLIENTE VIDO-WOQU 723,MAIZ,PROVEEDOR HAHA-CAOR 001,79.967,365.957,306.205,298.697,PUERTO NOEL-TEWO 002,ZC90,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2021/22
945531,7037327,182.61,2020-03-04,2020-04-06,2020-05-03,Precio Fijo,OPERADOR PAQU-XEYA 020,Pesos Argentinos,ENTREGADO,CLIENTE FINO-HABE 722,CEBADA FORRAJERA,PROVEEDOR RIEL-GAKA 056,21.606,114.562,79.486,75.326,PUERTO MEQU-CACA 004,ZC90,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
239378,9534809,291.11,2019-10-21,2019-10-21,2019-11-23,Precio Fijo,OPERADOR ALSA-MEVI 018,Dolares,TERMINADO,CLIENTE NOCA-URWO 441,SOJA,PROVEEDOR TEBE-RIIR 046,137.239,301.958,243.015,140.913,PUERTO NOEL-TEWO 002,ZC90,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2019/20
483945,3812146,203.04,2019-09-26,2019-09-29,2019-10-26,Precio a Fijar,OPERADOR ORIR-NOYA 014,Dolares,CONFIRMADO,CLIENTE MEME-MEOR 037,TRIGO PAN,PROVEEDOR URHA-WOCA 087,74.469,30.998,22.108,22.108,PUERTO ELBE-LUFI 003,ZC01,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Operac Primarias,Compra,2025/26
146170,1992733,236.02,2019-10-30,2019-11-06,2019-12-06,Precio Fijo,OPERADOR QUCA-IRTE 032,Dolares,TERMINADO,CLIENTE XEKA-JOME 792,CEBADA FORRAJERA,PROVEEDOR MERI-TEFI 063,149.939,32.179,24.561,9.377,PUERTO NOEL-TEWO 002,ZC77,CIUDAD TEIR-BEOR 003,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2022/23
661494,6176482,159.61,2020-04-04,2020-04-04,2020-04-29,Precio Fijo,OPERADOR RIEL-LUME 022,Pesos Argentinos,TERMINADO,CLIENTE DOOR-URBE 646,TRIGO PAN,PROVEEDOR ALEL-BEQU 030,1328.834,105.249,72.875,72.875,PUERTO MEQU-CACA 004,ZC74,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2023/24
910312,6370619,220.78,2019-08-01,2019-08-05,2019-09-11,Precio Fijo,OPERADOR ELUR-KAHA 013,Dolares,TERMINADO,CLIENTE ELSA-ZOQU 060,TRIGO PAN,PROVEEDOR HACA-LUKA 003,179.758,54.424,42.305,39.314,PUERTO MEQU-CACA 004,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
764709,3515956,190.99,2020-12-25,2020-12-25,2021-01-29,Precio Fijo,OPERADOR NOAL-HARI 037,Dolares,CANCELADO,CLIENTE SARI-CAQU 031,MAIZ,PROVEEDOR NOJO-ORJO 039,235.448,395.879,240.844,240.844,PUERTO NOEL-TEWO 002,ZC09,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2022/23
279447,7577171,311.43,2020-02-04,2020-02-04,2020-03-05,Precio Fijo,OPERADOR LUIR-QUVI 049,Dolares,TERMINADO,CLIENTE ORXE-NOTE 523,SOJA,PROVEEDOR IROR-UREL 022,31.132,2062.36,2034.579,902.678,PUERTO ELBE-LUFI 003,ZC09,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2019/20
163511,9120078,201.01,2020-11-19,2020-11-19,2020-12-23,Precio Fijo,OPERADOR URCA-QUBE 027,Dolares,TERMINADO,CLIENTE MEAL-HAIR 159,TRIGO PAN,PROVEEDOR TERI-XEME 084,117.282,1882.331,1820.432,1820.432,PUERTO MEQU-CACA 004,ZC77,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2021/22
603528,6112482,125.97,2019-09-04,2019-09-04,2019-10-04,Precio Fijo,OPERADOR YAUR-ALFI 054,Dolares,TERMINADO,CLIENTE ORCA-MECA 197,MAIZ,PROVEEDOR LUSA-YAUR 048,64.008,556.164,374.831,249.282,PUERTO MEQU-CACA 004,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2023/24
790254,2755094,204040.55,2020-02-16,2020-02-20,2020-03-21,Precio Fijo,OPERADOR KAWO-NOEL 050,Dolares,ENTREGADO,CLIENTE NOWO-MEGA 581,MAIZ,PROVEEDOR SAEL-ALCA 040,1474.68,495.272,235.313,235.313,PUERTO MEQU-CACA 004,ZC62,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2024/25
351020,3032637,140.24,2019-11-03,2019-11-03,2019-11-30,Precio Fijo,OPERADOR DOUR-DOAL 025,Dolares,TERMINADO,CLIENTE WOGA-WOCA 158,MAIZ,PROVEEDOR WOIR-CARI 051,1536.071,2206.855,994.259,620.253,PUERTO NOEL-TEWO 002,ZC86,CIUDAD XETE-PAKA 002,PROVINCIA URTE-MESA 003,Cereales Expo,Compra,2019/20
571727,6668986,5147.71,2019-03-26,2019-05-07,2019-06-01,Precio Fijo,OPERADOR QUQU-XESA 035,Pesos Argentinos,TERMINADO,CLIENTE IRZO-SASA 846,MAIZ,PROVEEDOR JODO-CAPA 012,95.258,148.013,148.013,109.309,PUERTO NOEL-TEWO 002,ZC77,CIUDAD TEIR-BEOR 003,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2020/21
117402,1955727,273923.95,2019-06-05,2019-06-05,2019-07-12,Precio Fijo,OPERADOR MEJO-SAVI 039,Dolares,ENTREGADO,CLIENTE GALU-YAFI 369,SOJA,PROVEEDOR XEAL-LUQU 058,50.85,359.329,263.631,226.955,PUERTO NOEL-TEWO 002,ZC41,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
445833,2937707,189.82,2019-10-16,2019-10-27,2019-12-01,Precio Fijo,OPERADOR CATE-FICA 052,Dolares,TERMINADO,CLIENTE GAAL-WOTE 483,MAIZ,PROVEEDOR NOGA-TEDO 009,62.602,305.905,291.03,155.502,PUERTO NOEL-TEWO 002,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2022/23
527613,6119087,250.78,2020-08-18,2020-08-20,2020-09-16,Precio Fijo,OPERADOR YAUR-ALFI 054,Dolares,CONFIRMADO,CLIENTE GAJO-NOOR 606,TRIGO PAN,PROVEEDOR RIUR-ALQU 053,75.922,118.923,97.754,73.048,PUERTO NOEL-TEWO 002,ZC86,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2023/24
989516,5558736,185.05,2020-09-02,2020-09-02,2020-10-05,Precio Fijo,OPERADOR CACA-QUBE 019,Dolares,TERMINADO,CLIENTE PASA-BEHA 386,CEBADA FORRAJERA,PROVEEDOR BELU-TEFI 088,562.664,223.561,145.884,145.884,PUERTO NOEL-TEWO 002,ZC57,CIUDAD MEYA-ELJO 006,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2024/25
679308,7791060,148.45,2020-05-25,2020-05-25,2020-06-22,Precio Fijo,OPERADOR XENO-ORGA 012,Dolares,REDUCCION TOTAL,CLIENTE RIRI-XEUR 715,CEBADA FORRAJERA,PROVEEDOR TELU-ZOME 020,55.835,115.829,94.461,94.461,PUERTO MEQU-CACA 004,ZC77,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2024/25
445454,2057944,161.93,2020-03-14,2020-04-16,2020-05-15,Precio a Fijar,OPERADOR CACA-QUBE 019,Dolares,TERMINADO,CLIENTE MEWO-ELLU 156,TRIGO PAN,PROVEEDOR HACA-LUKA 003,5332.904,104.118,92.797,72.54,PUERTO MEQU-CACA 004,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2024/25
952840,8273977,143.21,2020-03-26,2020-03-26,2020-04-26,Precio Fijo,OPERADOR ELUR-KAHA 013,Dolares,ENTREGADO,CLIENTE GAIR-JOFI 443,TRIGO PAN,PROVEEDOR ELJO-WODO 082,20.581,29.722,24.196,24.196,PUERTO RIDO-CAEL 005,ZC90,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
845767,2299817,157.95,2020-09-06,2020-09-06,2020-10-10,Precio a Fijar,OPERADOR ELQU-WOVI 038,Dolares,TERMINADO,CLIENTE XEOR-PASA 585,TRIGO PAN,PROVEEDOR PACA-URKA 027,78.0,141.451,141.451,110.72,PUERTO NOEL-TEWO 002,ZC20,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2019/20
553198,9372982,194.82,2019-07-26,2019-08-31,2019-09-30,Precio a Fijar,OPERADOR JOWO-XECA 024,Dolares,TERMINADO,CLIENTE URUR-SAOR 088,TRIGO PAN,PROVEEDOR DOTE-QURI 038,309.383,38.813,38.813,26.04,PUERTO NOEL-TEWO 002,ZC25,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2020/21
844005,3724241,130.8,2020-05-03,2020-05-05,2020-06-05,Precio Fijo,OPERADOR DOEL-ELPA 026,Dolares,TERMINADO,CLIENTE NOGA-CAFI 432,CEBADA FORRAJERA,PROVEEDOR TEBE-PANO 078,28.849,67.239,25.727,25.727,PUERTO NOEL-TEWO 002,ZC20,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2020/21
929026,9886093,228.75,2019-04-15,2019-04-22,2019-05-07,Precio Fijo,OPERADOR HAGA-ZOQU 021,Pesos Argentinos,TERMINADO,CLIENTE ELJO-YAHA 867,CEBADA FORRAJERA,PROVEEDOR MEPA-KASA 047,56.06,51.585,51.585,33.861,PUERTO MEQU-CACA 004,ZC86,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,nan,Compra,2022/23
507551,5678398,419978.31,2019-11-16,2019-12-11,2020-01-15,Precio Fijo,OPERADOR CATE-FICA 052,Dolares,TERMINADO,CLIENTE PAIR-URBE 173,SOJA,PROVEEDOR TEBE-RIIR 046,31.099,159.389,116.673,116.673,PUERTO MEQU-CACA 004,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2024/25
353010,8993533,179.54,2020-08-24,2021-04-07,2021-05-06,Precio Fijo,OPERADOR XENO-ORGA 012,Dolares,TERMINADO,CLIENTE ALYA-QUSA 645,CEBADA FORRAJERA,PROVEEDOR TELU-ZOME 020,25.217,275.72,189.33,156.264,PUERTO MEQU-CACA 004,ZC77,CIUDAD TEIR-BEOR 003,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2023/24
652704,7207461,159849.34,2019-07-02,2019-12-10,2020-01-11,Precio a Fijar,OPERADOR YAME-VIRI 003,Dolares,CONFIRMADO,CLIENTE BEXE-JORI 109,MAIZ,PROVEEDOR PADO-NOZO 083,296.257,2404.423,1368.249,1368.249,PUERTO MEQU-CACA 004,ZC09,CIUDAD XETE-PAKA 002,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2020/21
443340,8672119,206.89,2020-04-06,2020-04-06,2020-05-03,Precio Fijo,OPERADOR KAWO-NOEL 050,Dolares,TERMINADO,CLIENTE NOYA-IRGA 592,MAIZ,PROVEEDOR YAHA-ELGA 055,1569.975,210.318,202.103,156.607,PUERTO MEQU-CACA 004,ZC86,CIUDAD XETE-PAKA 002,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2022/23
687441,9678539,170.22,2019-07-26,2019-07-26,2019-08-21,Precio Fijo,OPERADOR LUTE-KAFI 006,Dolares,TERMINADO,CLIENTE TECA-BEHA 788,CEBADA FORRAJERA,PROVEEDOR HACA-LUKA 003,128.166,203.53,151.604,139.956,PUERTO ELBE-LUFI 003,ZC01,CIUDAD PAJO-URJO 001,PROVINCIA HAME-WORI 002,Cereales Expo,Venta,2019/20
259262,6531084,147.25,2019-05-27,2019-06-28,2019-08-04,Precio Fijo,OPERADOR NOKA-JONO 017,Dolares,ENTREGADO,CLIENTE KAJO-ALIR 470,MAIZ,PROVEEDOR XEME-SARI 007,30.842,4953.301,4014.375,2660.305,PUERTO ELBE-LUFI 003,ZC25,CIUDAD TEIR-BEOR 003,PROVINCIA HAME-WORI 002,Cereales Expo,Compra,2025/26
169213,8415015,345099.88,2019-09-13,2019-09-19,2019-10-22,Precio Fijo,OPERADOR ELUR-KAHA 013,Dolares,TERMINADO,CLIENTE HAKA-SAGA 271,SOJA,PROVEEDOR ELEL-DOPA 076,133.672,68.455,42.953,42.953,PUERTO MEQU-CACA 004,ZC57,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Operac Primarias,Compra,2025/26
518980,9681019,181.19,2020-09-15,2020-10-24,2020-11-19,Precio Fijo,OPERADOR HAGA-ZOQU 021,Dolares,TERMINADO,CLIENTE FIEL-DODO 304,MAIZ,PROVEEDOR LUZO-BEME 031,78.556,688.763,606.846,606.846,PUERTO ELBE-LUFI 003,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2024/25
459338,5995357,150.03,2020-11-10,2020-11-15,2020-12-19,Precio Fijo,OPERADOR ORIR-NOYA 014,Pesos Argentinos,TERMINADO,CLIENTE CAHA-MEWO 446,MAIZ,PROVEEDOR RIJO-CAQU 013,3817.098,1037.79,643.569,643.569,PUERTO ELBE-LUFI 003,ZC77,CIUDAD PAJO-URJO 001,PROVINCIA HAEL-PAGA 001,Cereales Expo,Compra,2024/25
